,id,city,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,venue
554,555,4.0,0,12,12,0,0,0,12.0,0,5,4
555,556,1.0,6,5,5,0,0,0,6.0,1,0,31
556,557,22.0,10,11,10,1,0,0,10.0,4,0,24
557,558,0.0,6,3,3,0,0,0,3.0,0,6,0
558,559,6.0,10,7,7,0,0,0,7.0,0,7,6
559,560,22.0,3,5,3,1,0,0,5.0,0,7,24
560,561,0.0,6,12,12,0,0,0,6.0,144,0,0
561,562,4.0,11,0,11,1,0,1,0.0,0,8,4
562,563,1.0,5,10,5,1,0,0,10.0,0,7,31
563,564,22.0,3,7,7,0,0,0,3.0,80,0,24
564,565,4.0,0,6,6,0,0,0,6.0,0,9,4
565,566,22.0,7,11,11,0,0,1,11.0,19,0,24
566,567,0.0,6,5,5,0,0,1,6.0,82,0,0
567,568,29.0,0,12,12,0,0,0,12.0,0,6,33
568,569,24.0,10,7,7,0,0,0,7.0,0,6,26
569,570,22.0,5,11,5,1,0,0,11.0,0,4,24
570,571,29.0,3,12,12,0,0,0,12.0,0,6,33
571,572,4.0,0,10,10,0,0,0,0.0,22,0,4
572,573,24.0,7,6,6,0,0,0,6.0,0,6,26
573,574,0.0,12,6,6,0,0,0,6.0,0,4,0
574,575,2.0,10,0,0,0,0,0,10.0,22,0,2
575,576,2.0,12,10,10,0,0,0,10.0,0,4,2
576,577,0.0,10,6,10,1,0,0,10.0,8,0,0
